Wavelength,ABS,EMS,RI
499.9975281,175.864614292,0.2311307823,1.638
499.0131531,175.864614292,0.2457378723,1.638
497.9906311,173.93289679199998,0.2671333553,1.638
497.0058289,174.81999623000002,0.2884423357,1.638
495.9829102,174.25279155799998,0.2993551854,1.638
494.9976807,173.58255075399998,0.3033910257,1.638
494.0122681,173.58255075399998,0.2892926152,1.638
492.9887085,172.699712734,0.283545021,1.638
492.0028687,173.22559933600002,0.2819296273,1.638
491.0168457,173.22559933600002,0.2913973663,1.638
489.9926453,171.80369500400002,0.3023784924,1.638
489.0061951,170.937142706,0.3105717202,1.638
487.9815979,169.889853785,0.3357357563,1.638
486.994751,169.81194397,0.3525517441,1.638
486.0077209,169.275746421,0.3689279544,1.638
484.9825134,170.544676273,0.3705296386,1.638
483.9950867,169.47020968299998,0.3703527709,1.638
483.0074158,169.056776633,0.3748594628,1.638
481.9815369,169.739402422,0.3796494486,1.638
480.9935608,169.527630014,0.3924045953,1.638
480.0053406,168.95441283699998,0.3991128139,1.638
479.0167847,168.95441283699998,0.4121093745,1.638
477.9901733,169.181038972,0.4337728496,1.638
477.0013428,168.525102666,0.4433133535,1.638
476.0123291,169.407732304,0.4510739933,1.638
474.9850769,168.906107937,0.4663618901,1.638
473.995636,168.52065273699998,0.4792405375,1.638
473.0060425,167.252818988,0.4851572702,1.638
472.0162354,169.326566593,0.4982230044,1.638
470.9881287,167.981980032,0.5244333082,1.638
469.9979553,167.217265788,0.5398743273,1.638
469.0075684,167.36496727999997,0.5485711491,1.638
468.0169067,166.480622883,0.5685419113,1.638
466.9880676,165.59018334400002,0.5764699301,1.638
465.9971313,165.72491590799999,0.6013593871,1.638
465.0059204,165.72491590799999,0.6069619849,1.638
464.0145874,165.512711998,0.6235914663,1.638
462.9849243,163.855055489,0.6408068741,1.638
461.9931641,162.844722284,0.650616896,1.638
461.0012512,163.404623463,0.6762077441,1.638
460.0091858,161.126044602,0.6809739877,1.638
459.0168152,160.59594321999998,0.6980632626,1.638
457.9862061,160.457255716,0.7150664118,1.638
456.9935608,158.966347208,0.7245845296,1.638
456.0006714,158.801359262,0.7448038375,1.638
455.0076294,158.341678573,0.7496966674,1.638
454.0144043,157.327999697,0.7632892145,1.638
452.9827271,155.686213835,0.7815125954,1.638
451.9891052,155.686213835,0.7926547732,1.638
450.9953613,155.84967113599998,0.811922833,1.638
450.0013733,155.269556838,0.8165901094,1.638
449.0071716,153.697887572,0.8307459985,1.638
448.0128784,153.772486207,0.8472740767,1.638
447.0183411,153.97734026,0.857508622,1.638
445.9853516,152.127503744,0.8748593092,1.638
444.990448,152.127503744,0.8862892872,1.638
443.9953918,151.28387161499998,0.8925319275,1.638
443.0001221,150.17780604,0.9087250521,1.638
442.0047302,149.176779749,0.9148842647,1.638
441.0090332,147.999315086,0.9299703337,1.638
440.0133057,147.939979327,0.9348231219,1.638
439.017334,146.380557047,0.9442864625,1.638
437.9828491,143.761480428,0.9563531829,1.638
436.9865112,142.592904347,0.9597094543,1.638
435.9900208,141.240866834,0.9704347349,1.638
434.9933167,141.240866834,0.9771234369,1.638
433.9964294,139.287003964,0.9804235187,1.638
432.9994202,137.68198623,0.9876752109,1.638
432.0021362,135.621714835,0.9901002146,1.638
431.0047607,133.554977293,0.9946755974,1.638
430.0071411,131.017418767,0.9939415363,1.638
429.0094604,128.678832945,0.9970100722,1.638
428.0115051,127.41327915299999,0.9961355224,1.638
427.0133972,124.889323599,0.9945080935,1.638
426.0151062,123.052972237,0.9934814392,1.638
425.0166626,120.56178723000001,0.9931296809,1.638
424.0180664,117.37916637699999,0.9903432261,1.638
422.980896,112.273942403,0.9873671972,1.638
421.9819031,109.937285682,0.9853279914,1.638
420.9827881,107.20829549499999,0.9772126257,1.638
419.983429,104.628013134,0.9723126705,1.638
418.9839783,100.87776721099999,0.9684620259,1.638
417.984314,98.118829142,0.958219664,1.638
416.9845276,94.67405727699999,0.9475563932,1.638
415.9844971,91.014548236,0.9288847642,1.638
414.9843445,87.34763665899999,0.9175698245,1.638
413.9840393,83.42696306900001,0.9076564669,1.638
412.9834595,79.249408128,0.8867623724,1.638
411.9828491,75.285142726,0.8721513615,1.638
410.9819946,70.634148374,0.84578891,1.638
409.9810181,66.057023257,0.8251778327,1.638
409.0183411,66.057023257,0.8016966096,1.638
408.0169983,61.447280267000004,0.7923277282,1.638
407.0155029,56.411717187,0.7589677593,1.638
406.0138245,51.252268920999995,0.7466640726,1.638
405.0119934,46.429803835,0.7060971712,1.638
404.0100098,41.510086458,0.6973018006,1.638
403.0078735,36.592687244,0.6509535283,1.638
402.0055542,32.037669104,0.6358511177,1.638
401.0030518,23.921737753,0.5992219981,1.638
400.0004272,20.483172663,0.5856299569,1.638
399.0,0.0,0.57,1.638
