#class tools::wcsv::ntuple
#title Detailed MC Info
#separator 44
#vector_separator 59
#column double Event_Number
#column double EDep_Trigger_FoilEJ212
#column double EDep_PEN_Stacked1
#column double EDep_PEN_Stacked2
#column double EDep_PEN_Stacked3
#column double EDep_PEN_Stacked4
#column double EDep_InactiveMaterial
#column double N_Trigger
#column double N_Left
#column double N_Right
#column double N_Bottom
#column double N_Front
#column double N_Back
606039,33.8298,0,0,0,0,835.501,0,0,0,0,0,0
606288,23.0258,250.6,0,0,0,397.334,0,133,65,152,92,60
620887,34.2875,0,0,0,0,784.113,2,0,0,0,0,0
621216,25.1316,543.407,0,0,0,167.477,0,149,143,331,306,121
621236,27.4646,920.012,0,0,0,48.9997,0,222,350,650,334,209
621249,21.7465,535.22,0,0,0,502.908,0,168,130,390,120,211
621343,40.7991,0,0,0,0,761.361,0,0,0,0,0,0
621433,19.0849,495.512,0,0,0,49.9846,1,131,124,326,107,202
639949,89.9888,0,0,0,0,596.203,0,0,0,0,0,0
648462,22.7148,703.779,0,0,0,336.718,1,170,258,457,296,161
648995,18.6828,831.565,0,0,0,144.377,0,296,190,583,257,244
649065,15.4608,929.816,0,0,0,51.1298,2,218,328,680,267,298
649444,141.103,0,0,0,0,291.495,0,0,0,0,0,0
675778,17.5318,547.651,0,0,0,298.934,0,159,162,431,144,156
676187,11.9523,0,0,0,0,1280.12,0,0,0,0,0,0
676303,16.425,882.939,0,0,0,96.25,1,269,250,696,350,217
699036,33.6774,0,0,0,0,1454.67,0,0,0,0,13,0
715538,42.3029,59.7027,0,0,0,643.145,0,19,20,40,16,14
716327,33.0352,0,0,0,0,359.46,0,0,0,0,0,0
724471,40.458,0,0,0,0,228.333,0,0,0,0,0,0
724777,24.5831,898.836,0,0,0,72.5308,4,244,279,595,209,317
725169,22.5528,643.612,0,0,0,309.501,1,223,162,500,173,189
725499,26.0178,471.558,0,0,0,560.335,3,177,100,309,227,98
748431,56.824,0,0,0,0,448.75,0,0,0,0,0,0
748776,43.1496,0,0,0,0,182.909,0,0,0,0,0,0
758439,34.7902,0,0,0,0,386.915,0,0,0,0,0,1
758551,55.8895,0,0,0,0,178.568,0,0,0,0,0,0
758701,26.3987,671.155,0,0,0,293.317,0,287,139,466,199,164
758781,37.4484,0,0,0,0,1203.5,0,0,0,0,0,0
759010,30.9438,0,0,0,0,670.494,0,0,0,0,0,0
759047,324.497,0,0,0,0,651.23,0,0,0,0,0,0
770389,20.7527,989.518,0,0,0,60.2838,1,200,359,741,292,267
770944,19.2004,837.899,0,0,0,494.271,6,181,359,581,265,199
771155,113.887,0,0,0,0,933.952,2,0,0,0,0,0
793820,22.3659,923.862,0,0,0,50.4166,3,251,303,693,277,296
793829,39.1209,367.663,0,0,0,547.655,2,84,139,262,78,156
794613,234.54,0,0,0,0,119.584,0,0,0,0,0,0
812327,29.7785,613.461,0,0,0,431.966,1,162,193,414,291,151
812364,45.2209,0,0,0,0,1411.94,0,0,0,0,0,0
849833,56.8467,688.059,0,0,0,154.339,2,239,147,497,207,248
850184,25.9191,435.226,0,0,0,335.78,1,84,225,279,73,166
866496,27.8965,0,0,0,0,947.794,1,0,0,0,0,4
866671,147.656,0,0,0,0,3.62357,0,0,0,0,0,0
882276,35.9641,732.515,0,0,0,53.6048,0,292,142,377,391,147
882486,25.6886,597.986,0,0,0,918.836,2,198,130,354,117,287
882772,87.4558,0,0,0,0,233.693,0,0,0,0,0,0
882950,21.7341,861.43,0,0,0,111.974,1,236,237,613,212,356
931313,16.2141,997.011,0,0,0,69.0969,1,292,308,717,268,315
931984,20.5307,121.196,0,0,0,836.638,1,28,95,73,39,23
932022,19.4161,390.288,0,0,0,138.259,1,159,102,225,100,208
932139,22.9887,502.454,0,0,0,545.504,3,115,220,352,121,139
932317,20.2952,818.755,0,0,0,155.183,2,224,251,638,264,201
957010,24.6419,550.841,0,0,0,276.556,0,148,157,349,127,284
957293,20.5905,500.654,0,0,0,235.7,0,149,133,336,223,125
972798,28.5026,0,0,0,0,468.561,0,0,0,0,0,0
972808,27.9826,872.665,0,0,0,94.9784,1,279,234,660,222,321
972969,57.9104,0,0,0,0,917.785,0,0,0,0,0,0
973093,34.0364,63.3141,0,0,0,879.636,0,29,10,44,19,12
973539,34.0001,136.479,0,0,0,646.242,0,53,33,100,31,32
973629,27.4572,329.935,0,0,0,131.3,0,65,116,207,74,185
1.00176e+06,27.1665,469.833,0,0,0,70.2931,0,126,152,349,182,103
1.0028e+06,17.3363,972.918,0,0,0,79.5331,2,257,316,773,265,271
1.0174e+06,14.3528,735.921,0,0,0,241.618,2,196,235,538,252,215
1.01775e+06,15.7475,413.615,0,0,0,556.145,3,119,149,315,141,116
1.01782e+06,21.1869,922.321,0,0,0,53.267,0,326,267,717,289,244
1.0179e+06,21.8476,392.265,0,0,0,425.389,0,74,167,208,73,131
1.01803e+06,72.3946,0,0,0,0,171.038,0,0,0,0,0,0
1.03804e+06,21.19,458.391,0,0,0,352.641,1,90,181,304,205,114
1.03828e+06,41.5942,70.3626,0,0,0,114.689,0,31,16,51,18,22
1.03858e+06,21.5331,769.45,0,0,0,342.735,1,202,247,552,272,181
1.05538e+06,30.103,59.9152,0,0,0,887.059,0,12,27,45,16,19
1.07248e+06,47.1395,0,0,0,0,928.525,0,0,0,0,0,0
1.08822e+06,31.7972,458.072,0,0,0,495.526,2,153,99,286,86,220
1.08832e+06,19.1059,1265.52,0,0,0,275.605,2,314,425,793,278,590
